,Stocks,Bonds,Gold
2016-07-11,514516416.0,2795532.0,286795.0
2016-07-12,599293056.0,1896381.0,293975.0
2016-07-13,514560576.0,1444676.0,244321.0
2016-07-14,530310560.0,1731973.0,304181.0
2016-07-15,643167296.0,2386163.0,220460.0
2016-07-16,643167296.0,2386163.0,220460.0
2016-07-17,643167296.0,2386163.0,220460.0
2016-07-18,479280256.0,2302817.0,194416.0
2016-07-19,517261568.0,1665982.0,189974.0
2016-07-20,500403776.0,1803132.0,266587.0
2016-07-21,559769216.0,2217542.0,329190.0
2016-07-22,525963936.0,1721839.0,308402.0
2016-07-23,525963936.0,1721839.0,308402.0
2016-07-24,525963936.0,1721839.0,308402.0
2016-07-25,511452928.0,1286714.0,413123.0
2016-07-26,540293568.0,2547957.0,316967.0
2016-07-27,662897024.0,1682726.0,422623.0
2016-07-28,565285952.0,1515663.0,272392.0
2016-07-29,787157184.0,2946076.0,253414.0
2016-07-30,787157184.0,2946076.0,253414.0
2016-07-31,787157184.0,2946076.0,253414.0
2016-08-01,543821056.0,3950504.0,123196.0
2016-08-02,619404544.0,4878053.0,187709.0
2016-08-03,542428992.0,3701767.0,160980.0
2016-08-04,492510112.0,1281435.0,193442.0
2016-08-05,569883904.0,2150770.0,246359.0
2016-08-06,569883904.0,2150770.0,246359.0
2016-08-07,569883904.0,2150770.0,246359.0
2016-08-08,487030880.0,1964875.0,161660.0
2016-08-09,427990080.0,2412171.0,142652.0
2016-08-10,439575328.0,1782719.0,205037.0
2016-08-11,464781440.0,1876432.0,174065.0
2016-08-12,432168768.0,1712060.0,261029.0
2016-08-13,432168768.0,1712060.0,261029.0
2016-08-14,432168768.0,1712060.0,261029.0
2016-08-15,441297760.0,2070377.0,132938.0
2016-08-16,484490144.0,2306145.0,235250.0
2016-08-17,499948448.0,2158320.0,185751.0
2016-08-18,510789248.0,1866675.0,177855.0
2016-08-19,580194688.0,2126947.0,192002.0
2016-08-20,580194688.0,2126947.0,192002.0
2016-08-21,580194688.0,2126947.0,192002.0
2016-08-22,463033728.0,1479844.0,164587.0
2016-08-23,466739616.0,1778537.0,145829.0
2016-08-24,472268704.0,2220952.0,259942.0
2016-08-25,459402656.0,1852663.0,195369.0
2016-08-26,494436288.0,3064404.0,328844.0
2016-08-27,494436288.0,3064404.0,328844.0
2016-08-28,494436288.0,3064404.0,328844.0
2016-08-29,434445696.0,1541729.0,147754.0
2016-08-30,470171552.0,5064535.0,172448.0
2016-08-31,659165312.0,2038237.0,193125.0
2016-09-01,507292928.0,3307419.0,195369.0
2016-09-02,491385888.0,1912470.0,193265.0
2016-09-03,491385888.0,1912470.0,193265.0
2016-09-04,491385888.0,1912470.0,193265.0
2016-09-05,,,251397.0
2016-09-06,569216256.0,4592263.0,305622.0
2016-09-07,511750080.0,1967819.0,164880.0
2016-09-08,530088960.0,3698286.0,191886.0
